Code,Name,Bao hanh,Base_price,Slase_price,Img_directory,Thong so san pham
MODE167,Màn hình Dell E2220H (21.5 inch/FHD/TN/60Hz/5ms/250 nits/VGA+DP),24 tháng,2899000,2449000,img/MONITOR/250_52557_dell_e2220h__7_.jpg,- Tỉ lệ màn hình	16:9.- Độ phân giải	1920 x 1080.- Tấm nền	TN.- Tần số quét	60Hz.- Thời gian phản hồi	5ms.
MOAS163,Màn hình Asus PG349Q (34 inch/2K UWQHD/IPS/120Hz/4ms/HDMI+DP+USB/G-Sync/Cong),24 tháng,34999000,32489000,img/MONITOR/250_53570_asus_pg349q__7_.png,"- Một màn hình cong 34 inch QHD siêu rộng (3440 x 1440) với tỷ lệ khung hình 21:9 cho chơi game toàn cảnh.- Công nghệ màn hình NVIDIA G-SYNC và tốc độ làm mới 120Hz cho hình ảnh chơi game siêu mượt và sắc nét.- Công nghệ chiếu sáng ASUS Aura Sync cho phép ánh sáng của môi trường xung quanh được đồng bộ hoàn hảo với các linh kiện và thiết bị ngoại vi được hỗ trợ công nghệ Aura.- Sản phẩm có một giá đỡ được thiết kế công thái học cho khả năng điều chỉnh xoay trái phải, nghiêng lên xuống và chiều cao toàn diện."
MOHP140,Màn hình HP 20KD (19.5inch/HD/IPS/60Hz/8ms/250nits/VGA+DVI-D) ,24 tháng,2730000,2049000,img/MONITOR/250_55350_hp_20kd__4_.png,"- Màn hình LED 19.5 inch hiển thị nội dung chuẩn xác.- Độ phân giải HD cho hình ảnh rõ nét, sống động.- Tỉ lệ màn hình 16:10 cho trải nghiệm hình ảnh hoàn hảo.- Độ sáng 250 cd/m2 đảm bảo chất lượng hình ảnh.- Góc nhìn rộng 178°, thoải mái khi làm việc ở mọi vị trí."
HHTL264,Màn hình Dell U2520D (25 inch/2K/IPS/60Hz/5ms/350 nits/HDMI+DP+USB-C) (Hàng Thanh Lý),24 tháng,8749000,6899000,img/MONITOR/250_55940_52558_dell_u2520d__6_.jpg,- Tái tạo màu sắc trung thực với độ bao phủ màu rộng bao gồm 99% sRGB 99% Rec 709 và 95% DCI-P3 Với độ phủ màu lớn hơn khoảng 25% so với sRGB DCI-P3 đang trở thành tiêu chuẩn màu mới..- Sạc USB-C Nhận tối đa 90W cung cấp năng lượng - cung cấp năng lượng cao nhất trong màn hình USB-C - Luôn cung cấp năng lượng để sạc điện liên tục cho hệ thống của bạn ngay cả khi tắt màn hình.- Chế độ xem không bị gián đoạn trên nhiều màn hình với InfinityEdge .- Cài đặt nhanh chóng đa màn hình USB-C thuận tiện nhất thế giới Dell Express Daisy Chaining cho phép tự động phát hiện màn hình thứ hai bỏ qua bước thủ công thay đổi cài đặt OSD.- Linh hoạt cho sự thoải mái cả ngày với trục xoay và điều chỉnh độ cao của màn hình để phù hợp với nhu cầu của bạn.
MOHP143,Màn hình HP P24V (23.8inch/FHD/IPS/75Hz/5ms/250nits/HDMI+DP),24 tháng,3219000,2799000,img/MONITOR/250_56510_p24v__4_.png,- Kích thước: 23.8 inch.- Tấm nền: IPS.- Độ phân giải: FHD (1920 x 1080).- Tốc độ làm mới: 60Hz.- Thời gian đáp ứng: 5ms GtG.
MODE159,Màn hình Dell UltraSharp U3219Q (32 inch/4K/IPS/USB-C/DP/HDMI/350cd/m²/60Hz/8ms),24 tháng,0,19999000,img/MONITOR/250_49179_u3219q__1_.jpg,- Kích thước màn hình	31.5”.- Độ phân giải	3840 x 1440 (4K).- Tần số quét	60hz.- Màu màn hình 1.07 tỉ.- Độ sáng	400 cd/m2.
MOSA153,Màn hình Samsung S27F350FH (27 inch/FHD/LED/PLS/250cd/m²/HDMI+VGA/60Hz/5ms) ,24 tháng,4299000,3989000,img/MONITOR/250_33519_samsung_s27f350fh__4_.png,"- Kích Thước Màn Hình 27 inches.- Độ Sáng Màn Hình 200cd/m2.- Tỉ Lệ Tương Phản Động MEGA 1000:1(Typ.), 700:1(Min) - 16:9.- Độ Phân Giải Màn Hình 1920 x 1080 @ 60 Hz.- Thời Gian Đáp Ứng 4 ms."
MOAC053,Màn hình Acer ET241Y (23.8 inch/FHD/LED/IPS/HDMI+VGA/250 cd/Ã£Å½Â¡/75Hz/5ms),24 tháng,3369000,3199000,img/MONITOR/250_37643_acer_et241y__4_.png,- Loại màn hình: LED.- Kích thước màn hình: 23.8 inch.- độ sáng (Typical): 250 cd/m2.- độ tương phản: 100.000.000:1.- Góc nhìn (H/V): 178/178 độ.
MOBE064,Màn hình BenQ Zowie XL2411P (24 inch/TN/FHD/350cd/m²/144Hz/1ms/DP+HDMI+DVI),24 tháng,5890000,5299000,img/MONITOR/250_38490_benq_zowie_24xl2411p__4_.png,- Chủng loại	XL2411P.- Kích Thước Màn Hình	LED 24.0 inch.- Độ Sáng Màn Hình	350 cd/m²	.- Tỉ Lệ Tương Phản	1000:1.- Độ Phân Giải Màn Hình	1920 x 1080.
MODE139,Màn hình Dell E2219HN (21.5 inch/FHD/IPS/HDMI+VGA/250cd/m²/60Hz/5ms),24 tháng,2849000,2589000,img/MONITOR/250_41252_e2219hn__3_.png,- Kích Thước Màn Hình	21.5 INCH .- Độ Sáng Màn Hình	250 cd/m² .- Tấm nền màn hình	IPS.- Độ Phân Giải Màn Hình	Full HD 1920 x 1080 @ 60Hz.- Độ tương phản	1000:1 (typical).
