Code,Name,Bao hanh,Base_price,Slase_price,Img_directory,Thong so san pham
PCMD032,Trọn bộ tản nhiệt nước PC Thermaltake Core P9 (Lắp ráp theo yêu cầu),24 tháng,0,24222000,img/FAN/250_44178_modding_pc_thermaltake_core_p90_ht_29_1.jpg,"- Tản nhiệt nước Custom là giải pháp làm mát cao cấp nhất giành cho các bộ máy tính Desktop PC, tăng khả năng làm mát cho hệ thống từ 20-50%, ngoài ra giảm độ ồn tới 50% do diện tích toả nhiệt lớn cùng vẻ đẹp khó cưỡng là những lý do mà những hệ thống PC Gaming, Workstation ngày càng sử dụng tản nhiệt nước nhiều hơn .- Với các linh kiện được lựa chọn kỹ càng, đến từ các thương hiệu hàng đầu thế giới, những hệ thống Modding PC Made by HANOICOMPUTER đảm bảo hoạt động bền bỉ và đem lại vẻ đẹp độc đáo cho hệ thống của bạn .- Lưu ý: .- - Khách hàng có thể tuỳ chọn màu nước theo ý thích .- - Khách hàng có thể tuỳ biến đường nước theo ý thích, chi phí có thể tăng hoặc giảm tuỳ thuộc đường nước khách hàng yêu cầu  ."
FANC759,Tản nhiệt nước CPU Cooler Master MasterLiQuid ML360L-ARGB V2,25 tháng ,2789000,2589000,img/FAN/250_53332_master_masterliquid_ml360l_argb_v2_0002_1__1_.jpg,- Thiết kế pump lồng hơi kép thế hệ mới.- Bề mặt tiếp xúc lớn trên két nước.- Quạt SickleFlow 120 ARGB mới.- Gia cố bọc dây chống rỉ nước.
FANC742,Tản nhiệt nước Corsair H115i RGB PRO XT ( CW-9060044-WW ), 24 tháng ,3999000,3719000,img/FAN/250_51860_tan_nhiet_nuoc_corsair_h115i_rgb_pro_xt_cw_9060044_ww_0006_1.jpg,- Kích cỡ Radiator: 280 mm.- Tương thích Socket: AMD AM3/AM4/sTR4 - Intel 115x/20xx.- Đèn LED: RGB.
FANC625,Tản nhiệt nước Asus ROG RYUO 120 - RGB 120mm Liquid CPU Cooler,24 tháng,0,3799000,img/FAN/250_45764_1_rog_ryuo_120_aura.png,"- Màn hình màu OLED 1.77inch cung cấp thông tin tình trạng hệ thống hoặc tuỳ chỉnh hoạt ảnh cá nhân.- Thiết kế quạt ROG được tối ưu để đem đến áp suất gió lớn.- Thiết kế nắp đậy phần bơm với đèn addressable RGB được mạ chân không đem đến cảm giác sang trọng, cứng cáp.- Phong cách thiết kế đồng bộ với các linh kiện của ASUS ROG.- Dây dẫn nước được bện tăng cường tuổi thọ cho linh kiện."
FANC731,Tản nhiệt nước CPU NZXT Kraken X53, 72 tháng ,3999000,3459000,img/FAN/250_51278_kraken_x53_4.jpg,"- Phần pump với vòng LED ARGB vô cực và logo NZXT phát sáng độc đáo.- Vòng sáng lớn hơn 10% với thế hệ cũ đem tới nhiều ánh sáng hơn.- Tuỳ chỉnh tất cả thông số và đèn thông qua phần mềm CAM.- Quạt Aer 120P thổi Radiator đem lại hiệu suất mạnh mẽ, độ ồn thấp, tuổi thọ cao.- Dây nối bọc dù cứng cáp kèm khả năng xoay đầu dây thuận tiện cho việc bố trí lắp đặt."
CABL498,Dây nguồn nối dài 8pin GPU RGB Ambino Rainpow Aura Sync (Không kèm bộ điều khiển / Hỗ trợ Aurasync - RGB Fusion - Mystic light),24 tháng,0,249000,img/FAN/250_50045_day_nguon_noi_dai_24pin_rgb_ambino_rainpow_kem_bo_dieu_khien_ho_tro_aurasync_rgb_fusion_mystic_light_7.jpg,"- Dây nguồn nối dài RGB RainPow 8Pin dành cho GPU được trang bị dây dẫn ánh sáng. Dàn máy của bạn sẽ trở lên vô cùng lung linh, ngập tràn màu sắc..- Đặc biệt tương thích với tất cả các PSU ATX có sẵn trên thị trường và cách thức lắp đặt rất đơn giản, đem đến cho góc máy tính của bạn trở nên sinh động, đẹp mắt, tạo sự độc đáo và thể hiện cá tính riêng của bạn.."
PCMD012,Trọn bộ tản nhiệt nước PC Cooler Master Lite 5 (Lắp ráp theo yêu cầu),24 tháng,0,13397000,img/FAN/250_41977_modding_pc_nzxt_cooler_master_lite_5_ht_10_1.jpg,"- Tản nhiệt nước Custom là giải pháp làm mát cao cấp nhất giành cho các bộ máy tính Desktop PC, tăng khả năng làm mát cho hệ thống từ 20-50%, ngoài ra giảm độ ồn tới 50% do diện tích toả nhiệt lớn cùng vẻ đẹp khó cưỡng là những lý do mà những hệ thống PC Gaming, Workstation ngày càng sử dụng tản nhiệt nước nhiều hơn .- Với các linh kiện được lựa chọn kỹ càng, đến từ các thương hiệu hàng đầu thế giới, những hệ thống Modding PC Made by HANOICOMPUTER đảm bảo hoạt động bền bỉ và đem lại vẻ đẹp độc đáo cho hệ thống của bạn .- Lưu ý: .- - Khách hàng có thể tuỳ chọn màu nước theo ý thích .- - Khách hàng có thể tuỳ biến đường nước theo ý thích, chi phí có thể tăng hoặc giảm tuỳ thuộc đường nước khách hàng yêu cầu  ."
FANB016,Block CPU Bykski XPR-A 2016. ,24 tháng,0,999000,img/FAN/250_32608_block_cpu_byski_xpr_a_2016_0000_unnamed.jpg,
FANB086,EK-Quantum Velocity D-RGB - Nickel + Plexi,24 tháng,0,2939000,img/FAN/250_45098_ek_velocity_d_rgb___nickel_plexi_0002_3.jpg,- EK-Velocity là block nước CPU chất lượng cao hàng đầu mới hiệu suất cao dành cho bộ xử lý Intel hiện đại. .- Với thiết kế mới sẽ cho phép một số lượng lớn các bản tuỳ biến custom cho dàn PC modding của bạn.
FAVG115,EK-FC RTX 2080 + Ti Backplate Classic -  Black ,24 tháng,0,809000,img/FAN/250_46451_ek_fc_rtx_2080_ti_backplate_classic_black_0000_1.jpg,"- Block nước sử dụng kiểu dáng mỏng đặc trưng của EK®, và nó bao phủ toàn bộ chiều dài PCB. Giải pháp làm mát cao cấp này sẽ biến card đồ họa mạnh mẽ của bạn thành một khối gọn gàng.."
