,Code,Name,Bao hanh,Base_price,Slase_price,Img_directory,Thong so san pham
189,CSCM160,Vỏ case Cooler Master MasterBox NR200 White (Mini ITX Tower/Màu trắng),12 tháng,1699000,1449000,img/CASE/250_53919_cooler_master_masterbox_nr200_white__2_.jpg,"['- Kích thước cực kỳ nhỏ gọn, dành cho những ai yêu thích không gian làm việc gọn gàng\r', '- Khả năng hỗ trợ làm mát đa dạng\r', '- Hỗ trợ Card đồ họa 3 slot\r', '- Dễ dàng tháo lắp không cần dụng cụ\r', '- Khả năng truy xuất phần cứng 360 độ\r']"
190,CSCM164,Vỏ case Cooler Master  MasterBox NR600 (Mid Tower/Màu đen),12 tháng,1699000,1499000,img/CASE/250_54439_cooler_master__masterbox_nr600_0005_1__3_.jpg,"['- Thiết Kế Siêu Tối Giản\r', '- Kính Cường Lực\r', '- Hỗ Trợ Lưu Trữ Rộng Rãi \r', '- Jack Tai Nghe\r', '- Hỗ Trợ Quạt Làm Mát\r']"
191,CSMS010,Vỏ Case MSI MAG VAMPIRIC 100R CHASSIS ( Mid Tower/Màu Đen/Led ARGB),12 tháng,1499000,1349000,img/CASE/250_55393__msi_mag_vampiric_100r_chassis_0004_1__1_.jpg,"['- Mặt lưới phía trước được dập góc cạnh, đem lại sự mạnh mẽ cho vẻ bề ngoài và tăng cường khả năng tản nhiệt.\r', '- Dải đèn led RGB mặt trước phát sáng, làm điểm nhấn cho case\r', '- Hỗ trợ mainboard  ATX / Micro-ATX / Mini-ITX\r', '- Chiều cao tản nhiệt CPU tối đa: 160mm\r', '- Chiều dài VGA tối đa: 300mm']"
192,CSSA096,Vỏ Case SAMA 3708 (Mid Tower/Màu Đen/Led RGB),24 tháng,1199000,1049000,img/CASE/250_56066_sama_3708.jpg,"['- Mẫu vỏ case thoáng khí, nâng cao khả năng tản nhiệt cho các linh kiện bên trong\r', '- Hỗ trợ mainboard lên tới E-ATX\r', '- Hỗ trợ VGA dài 315mm\r', '- Hỗ trợ tản nhiệt CPU cao: 154mm']"
193,CSGO118,Vỏ Case Golden Field N-17Plus (Mid Tower/Màu Đen),24 tháng,789000,589000,img/CASE/250_48128_golden_field_n_17_plus_1.jpg,"['- Thiết kế hiện đại, tinh tế.\r', '- Cạnh bên và mặt trước được thiết kế bằng khung kính, trên đỉnh có phần khe hở tản nhiệt. Hiệu ứng đèn Led đẹp mắt.\r', '- Hỗ trợ mainboard ATX, Micro-ATX']"
194,CSRM025,Vỏ Case Raijintek PAEAN (Mid Tower/Màu Đen),24 tháng,0,3949000,img/CASE/250_49295_raijintek_paean_1.jpg,"['- Vỏ máy tính với thiết kế mở, được chế tạo từ nhôm với độ dày lên tới 4mm. Đặc biệt phù hợp với các hệ thống sử dụng tản nhiệt nước Watercooling có thiết kế showcase\r', '- Hỗ trợ card đồ hoạ và bộ nguồn có kích thước lớn..\r', '- Chất lượng gia công tuyệt vời đem lại cảm giác cao cấp cho dàn máy tính']"
195,CSCS065,Vỏ Case Corsair Crystal Series 280X RGB Tempered Glass (Mini Tower/MàuTrắng),12 tháng,3899000,3759000,img/CASE/250_43254_corsair_280x_rgb_wht_01.png,"['- Hỗ trợ tới 6 quạt 120mm hoặc radiator 240mm mặt trước, trên và phía dưới\r', '- 2 Quạt CORSAIR LL120 đi kèm với 32 bóng led tùy chỉnh riêng biệt, điều khiển thông qua phần mềm CORSAIR iCUE\r', '- 3 mặt kính cường lực giúp hệ thống của bạn luôn nổi bật hơn so với tất cả các sản phẩm case mATX nào khác\r', '- Tạo điểm nhấn với các linh kiện chính ở mặt trước, để dành các cáp nối, ổ cứng và nguồn ở khoang rieegn phía sau\r', '- Thiết kế luồng gió trực tiếp tới các linh kiện nóng nhất của hệ thống\r']"
196,CSAN041,Vỏ Case Antec Torque (Mid Tower/Màu Trắng),24 tháng,0,7999000,img/CASE/250_46122_vo_case_antec_torque_mid_tower_mau_trang_0006_1__1_.jpg,"['- Thiết kế độc đáo với phần mainboard hướng về phía trước.\r', '- Đường nét mạnh mẽ và nhiều tính năng được thiết kế cho các cỗ máy cao cấp.\r', '- Các tấm nhôm cắt tinh xảo mang lại cảm giác cao cấp cho máy tính để bàn của bạn.\r', '- Đặc biệt phù hợp với các hệ thống modding và watercooling.']"
197,CSPT046,"Vỏ Case Phanteks Enthoo 719 ( Luxe II ) , Tempered Glass, DRGB Ligting, Satin (Full Tower/Màu Đen) PH-ES719LTG_DBK01",24 tháng,5090000,4899000,img/CASE/250_48633_case_phanteks_enthoo_luxe_ii_full_tower_case_tempered_glass_drgb_ligting_satin_black_ph_es719ltg_dbk01_1__custom_.jpg,"['- Case hiệu suất cao dành cho của máy trạm cực lớn và hệ thống kép\r', '- Nội thất mở rộng rãi: hỗ trợ lên tới bo mạch chủ SSI-EEB, hỗ trợ radiator 480 và 360, hỗ trợ GPU dọc và hỗ trợ hệ thống / psu kép\r', '- Bộ điều khiển Digital-RGB tích hợp có thể đồng bộ hóa với các bo mạch chủ tương thích và các sản phẩm Phanteks Digital-RGB\r', '- Cấu hình cực cao cho quạt (vị trí lắp quạt tối đa 15 chiếc), watercooling (hỗ trợ 2 Radiator 480 và 2 Radiator 360 đồng thời) và lưu trữ (tối đa 12x HDD hoặc 11x SSD)\r', '- Quản lý cáp nguồn với các khay định tuyế, nắp PSU tích hợp và trung tâm điều tốc quạt tích hợp']"
198,CSCM121,Vỏ Case Cooler Master MasterBox H500M (Mid Tower/Màu Đen/Led RGB),24 tháng,4789000,4989000,img/CASE/250_50291_case_cooler_master_mastercase_h500m_rgb_0009_1__1_.jpg,"['- Đi kèm 2 mặt trước giúp bạn có thể tuỳ chọn giữa mặt kính và mặt lưới\r', '- Quạt ARGB đem lại hiệu ứng chuyển đổi màu hấp dẫn\r', '- 4 mặt kính cường lực\r', '- Khe xoay dọc card đồ hoạ tích hợp\r', '- Hỗ trợ tản nhiệt nước\r']"
199,CSJO042,Vỏ case Jonsbo T8 Black Edition (Mini Tower/Màu Đen),24 tháng,2599000,1999000,img/CASE/250_52222_jonsbo_t8_black_edition_0003_1__1_.jpg,"['- Kích thước nhỏ gọn, thiết kế đơn giản nhưng vô cùng tinh tế\r', '- Mặt hông hai bên trong suốt show toàn bộ nội thất bên trong vô cùng độc đáo\r', '- Tay xách tiện dụng dễ dàng vận chuyển\r', '- Hỗ trợ mainboard: ITX\r', '- Tản nhiệt CPU cao tối đa: 45mm/65mm (khi lắp nguồn sfx)\r']"
200,CSAE027,Vỏ Case Aero Cool Bolt Mini (Mini-Tower/Led RGB),12 tháng,749000,689000,img/CASE/250_52793_aero_cool_bolt_mini_0006_1__1_.jpg,"['- Thiết kế LED Lightning Bolt RGB ở mặt trước\r', '- Mặt trước phong cách sợi carbon mang lại cảm giác sang trọng và hiện đại\r', '- Truy cập 13 chế độ LED Lightning Bolt ở mặt trước qua nút điều khiển LED\r', '- Được trang bị mặt bên bằng chất liệu Arcylic\r', '- Hỗ trợ làm mát bằng chất lỏng ở phía trước và phía sau thùng máy\r']"
201,CSXM076,Vỏ Case Xigmatek NYC ARTIC  (Mini-Tower/Màu Trắng) EN45716,12 tháng,899000,789000,img/CASE/250_54240_xigmatek_nyc_artic_0003_1__3_.jpg,"['- Mẫu vỏ case nhỏ gọn mang tông màu trắng cá tính.\r', '- Hỗ trợ tối đa 6 quạt 120mm\r', '- Hỗ trợ mainboard tối đa: M-ATX\r', '- Hỗ trợ tản nhiệt CPU cao tối đa: 160mm\r', '- Chiều dài VGA tối đa: 295mm']"
202,CSJO066,Vỏ case Jonsbo U4 Black Edition (Mid Tower/Màu Đen) ,24 tháng,2399000,1889000,img/CASE/250_55000_jonsbo_u4_black_0003_1__2_.jpg,"['- Làm từ chất liệu hợp kim nhôm - magie cao cấp\r', '- Bề mặt được xử lý bằng công nghệ anod độc quyền.\r', '- Kết cấu đồng nhất cho độ chắc chắn cao.\r', '- Mặt hông trang bị kính cường lực, bên trong có khả năng chống ồn.']"
203,CSCM167,Vỏ Case Cooler Master MasterBox MB520 TG Red Trim (Mid Tower/Màu Đen),24 tháng,1489000,1289000,img/CASE/250_55843_53686__cooler_master_masterbox_mb520_tg_0003_1__3_.jpg,"['- Mặt trước màu khói trong\r', '- Khe hút gió bố trí 2 bên mặt trước\r', '- Kích thước bên trong rộng rãi, hỗ trợ tới 6 quạt cho tản nhiệt nước\r', '- Mặt kính cường lực bên hông\r', '- Hỗ trợ mainboard: ATX, Micro ATX, Mini ITX\r']"
204,CSVR029,Vỏ Case Vitra Glitter Force X1 Pro Temper Glass ( Mid Tower / Màu Đen ),24 tháng,799000,729000,img/CASE/250_51829_vitra_glitter_force_x1_pro_v2_1.jpg,"['- Hỗ trợ mainboard: Mini-ITX, MicroATX, ATX\r', '- Chiều dài Radiator tối đa: 240mm\r', '- Chiều cao tản nhiệt tối đa: 160mm\r', '- Chiều dài VGA tối đa: 360mm\r', '- Quạt tuỳ chọn không đi kèm']"
205,CSNZ082,Vỏ Case NZXT H510i  (Mid Tower/Màu Đen/Đỏ),24 tháng,2699000,2539000,img/CASE/250_47675_case_nzxt_h510i_smart_casematte_blackred__9_.jpg,"['- Thiết bị thông minh Smart Device V2 được nâng cấp bộ vi xử lý mới dùng cho phần mềm NZXT CAM với 2 kênh điều khiển led HUE 2 RGB và 3 kênh điều tốc quạt PWM\r', '- Với USB 3.1 Gen 2 USB-C mặt trước, dễ dàng hơn để kết nối điện thoại, thiết bị lưu trữ tốc độ cao hoặc các thiết bị ngoại vi mới nhất cho máy tính của bạn\r', '- Thiết kế tối giản, hiện tại, khu vực đi dây mẫu mực và thiết kế mặt kính xuyên suốt giúp khoe trọn bộ hệ thống của bạn\r', '- Sử dụng phần mềm NZXT CAM để tùy biến hệ thống, lựa chọn các chế độ cài đặt sẵn hoặc tự tạo chế độ sáng cho đèn led và quạt\r', '- Việc đi dây luôn rất tốn thời gian, chúng tôi đã thiết kế các rãnh với dây thít tích hợp sẵn để tối giản công sức cho việc này\r']"
206,CSNZ083,Vỏ Case NZXT H510 Elite  (Mid Tower/Màu Đen),24 tháng,0,3689000,img/CASE/250_51054_nzxt_h510_elite_1.jpg,"['- Thiết bị thông minh Smart Device V2 được nâng cấp bộ vi xử lý mới dùng cho phần mềm NZXT CAM với 2 kênh điều khiển led HUE 2 RGB và 3 kênh điều tốc quạt PWM\r', '- Với USB 3.1 Gen 2 USB-C mặt trước, dễ dàng hơn để kết nối điện thoại, thiết bị lưu trữ tốc độ cao hoặc các thiết bị ngoại vi mới nhất cho máy tính của bạn\r', '- Thiết kế tối giản, hiện tại, khu vực đi dây mẫu mực và thiết kế mặt kính xuyên suốt giúp khoe trọn bộ hệ thống của bạn\r', '- Sử dụng phần mềm NZXT CAM để tùy biến hệ thống, lựa chọn các chế độ cài đặt sẵn hoặc tự tạo chế độ sáng cho đèn led và quạt\r', '- Việc đi dây luôn rất tốn thời gian, chúng tôi đã thiết kế các rãnh với dây thít tích hợp sẵn để tối giản công sức cho việc này\r']"
207,CSXM047,Vỏ Case Xigmatek ZEST (Mid Tower/Màu Đen) EN41541,24 tháng,2899000,2499000,img/CASE/250_45953_vo_case_xigmatek_zest_mid_tower_mau_den_en41541__1_.jpg,"['- Mẫu vỏ case đặc biệt với mặt kính hai bên và phía trước\r', '- Kích thước rộng rãi, phù hợp với các hệ thống cao cấp\r', '- Hỗ trợ mainboard lên tới E-ATX\r', '- Hỗ trợ tản nhiệt CPU lên tới 180mm\r', '- Hỗ trợ VGA dài tới 430mm']"
208,CSAS002,Vỏ Case Asus ROG Strix Helios GX601 Tempered Glass Gaming   (Mid Tower/Màu Đen/Led RGB),24 tháng,0,6549000,img/CASE/250_46922_rog_strix_helios_lighting_case_may_tinh_aura_sync_01.png,"['- Thiết kế & thẩm mỹ cao cấp: Được thiết kế cho các giàn máy trưng bày với ba tấm kính cường lực, khung nhôm mạ và tích hợp đèn Aura Sync mặt trước\r', '- Sự ngăn nắp giúp lắp đặt thuận tiện: Nắp đa năng với các giá đỡ cạc đồ họa, một vỏ bảo vệ PSU và một nắp cáp phía sau mờ giúp quản lý cáp dễ dàng\r', '- Giá đỡ GPU đa năng: Lắp ba cạc đồ họa theo hướng tiêu chuẩn hoặc hai theo hướng thẳng đứng để có thêm gờ trưng bày bằng cách sử dụng giá đỡ tích hợp\r', '- Sẵn sàng làm mát cường độ cao: Hỗ trợ bo mạch chủ EATX với khoảng trống cho lắp radiator tản nhiệt nước 420mm phía trước, bơm làm mát bằng nước và bình chứa nước\r', '- Tay cầm vỏ case thoải mái: Dễ dàng mang theo cỗ máy quý giá của bạn đến mọi nơi trong mạng LAN bằng các tay cầm bọc vải được thiết kế công thái học và kiểu cách\r']"
209,CSPT057,Vỏ Case Phanteks Enthoo Evolv Shift Air  Fabric Mesh Panel Anthracite (Mini Tower/Màu Xám)  PH-ES217A_AG ,24 tháng,2679000,2299000,img/CASE/250_48644_case_phanteks_enthoo_evolv_shift_air_itx_case_fabric_mesh_panel_anthracite_grey_ph_es217a_ag_2.jpg,"['- Có thể đặt nhiều tư thế khác nhau\r', '- Lắp đặt dễ dàng \r', '- Mặt lưới 2 bên đem tới lượng gió cao\r', '- Đi kèm 2 quạt Phanteks 140mm cao cấp\r', '- Hỗ trợ khu vực đi dây gọn gàng\r']"
210,CSJO037,Vỏ case Jonsbo MOD3 White (Mid Tower/Màu Trắng),24 tháng,6999000,5589000,img/CASE/250_52217_jonsbo_mod3_white__5_.jpg,"['- Vỏ cases thiết kế dành riêng cho các game thủ với thiết kế hầm hố\r', '- Cấu tạo mở cho khả năng giải nhiệt nhanh chóng\r', '- Mặt kính giúp phô diễn toàn bộ hệ thống bên trong\r', '- Độc đáo hơn khi kết hợp cùng các hệ thống tản nhiệt nước Custom\r', '- Hỗ trợ mainboard EATX; ATX; MATX; ITX\r']"
211,CSJO057,Vỏ case Jonsbo U4 Silver Edition (Mid Tower/Màu Bạc),24 tháng,2399000,1889000,img/CASE/250_52237_jonsbo_u4_0002_1__2_.jpg,"['- Làm từ chất liệu hợp kim nhôm - magie cao cấp\r', '- Bề mặt được xử lý bằng công nghệ anod độc quyền.\r', '- Kết cấu đồng nhất cho độ chắc chắn cao.\r', '- Mặt hông trang bị kính cường lực, bên trong có khả năng chống ồn.']"
212,CSVR039, Vỏ Case Vitra POSEIDON Z3 Black (Mid Tower/Màu Đen),24 tháng,689000,559000,img/CASE/250_52835_vitra_poseidon_z3_black_0000_1__1_.jpg,"['- Khung thép SPCC 0.5mm & Plastic/ Sơn tĩnh điện, sườn kính cường lực dày 4mm\r', '- Hỗ trợ Mainboard ATX, Micro-ATX, ITX\r', '- Chiều dài tối đa GPU: 330mm\r', '- Chiều cao tối đa tản nhiệt CPU: 160mm']"
213,CSGO124,Vỏ Case Golden Field N17B Plus (MidTower/ Vách Mica),24 tháng,799000,699000,img/CASE/250_53911_golden_field_n17_plus_0004_1__1_.jpg,"['- Vách cường lực sang trọng giúp khoe sức mạnh bên trong PC, khung thép cứng cáp, chức năng chống bức xạ độc đáo mang lại môi trường làm việc an toàn.\r', '- Chân đế chống trượt, giảm ồn, giảm xóc. Sản phẩm dành cho PC Gaming, Mod Case, Case Server ,Work-Station.\r', '- Hỗ trợ Mainboard: ATX, M-ATX, ITX\r', '- Hỗ trợ: VGA 310mm | CPU Cooler: 158mm']"
214,CSXM077,Vỏ Case Xigmatek NYC QUEEN  (Mini-Tower/Màu Hồng) EN45723,12 tháng,899000,789000,img/CASE/250_54241_xigmatek_nyc_queen_0001_1__4_.jpg,"['- Mẫu vỏ case nhỏ gọn mang tông màu hồng nữ tính.\r', '- Hỗ trợ tối đa 6 quạt 120mm\r', '- Hỗ trợ mainboard tối đa: M-ATX\r', '- Hỗ trợ tản nhiệt CPU cao tối đa: 160mm\r', '- Chiều dài VGA tối đa: 295mm']"
215,CSJO067,Vỏ case Jonsbo C3-PLUS Black Edition (Mini Tower/Màu Đen) ,24 tháng,1899000,1399000,img/CASE/250_55001_vo_case_jonsbo_c3_plus_black_edition_mini_tower_mau_den_0.jpg,"['- Vỏ case với tông màu bạc sang trọng, kính cường lực mặt bên\r', '- Cấu tạo với các góc vuông vức cứng cáp\r', '- Hỗ trợ bo mạch chủ kích thước M-ATX\r', '- Tản nhiệt CPU cao tối đa 170mm\r', '- VGA dài tối đa 280-340mm (340mm cần tháo khung phía trước)\r']"
216,CSJO070,Vỏ case Jonsbo V9 Silver (Mini Tower/Màu Bạc),24 tháng,1589000,1399000,img/CASE/250_55597_jonsbo_v9_silver__0001_1__4_.jpg,"['- Kích thước nhỏ gọn, phù hợp với các không gian tinh tế, gọn gàng, khi đặt trên bàn cũng không chiếm nhiều diện tích.\r', '- Chất liệu nhôm Magie cao cấp\r', '- Hỗ trợ mainboard: M-ATX và ITX\r', '- Hỗ trợ nguồn SFX/SFX-L\r', '- Mặt hông kính cường lực']"
217,CSGM004,Vỏ Case GAMEMAX Draco XD (Mid Tower/Mầu Đen),24 tháng,799000,739000,img/CASE/250_49850_vo_case_gamemax_draco_xd_mid_tower_mau_den_5.png,"['- Loại case: ATX、M-ATX、ITX, EATX \r', '- Kích thước case : L421 x W210 x H460 mm\r', '- Kích thước cả bảo bì : L506 x W266 x H465mm']"
218,CSTH090,Vỏ Case Thermaltake F31 Suppressor Tempered Glass (Mid Tower - Support Modding/Màu Đen),24 tháng,2789000,2599000,img/CASE/250_38377_case_thermaltake_f31_suppressor_tempered_glass_mid_tower___support_modding_0004_1__2_.jpg,"['- Hỗ trợ bo mạch chủ: 6.7 ""x 6.7"" (Mini ITX), 9.6 ""x 9.6"" (Micro ATX), 12 ""x 9.6"" (ATX)\r', '- Giới hạn độ cao của tản nhiệt CPU: 180mm \r', '- Giới hạn độ dài VGA: 278mm (có giá HDD) 420mm (không có giá đỡ HDD) \r', '- Giới hạn độ dài của PSU: 180mm (với một quạt dưới) 220mm (không có quạt dưới)']"
219,CSGM003,Vỏ Case GAMEMAX Fortress TG (Mid Tower/Màu Đen),24 tháng,749000,689000,img/CASE/250_49849_vo_case_gamemax_fortress_tg_mid_tower_mau_den_2.png,"['- Thương hiệu GameMax 2019\r', '- USB3.1 GEN1 (USB3.0) ở mặt trước\r', '- Kính cường lực\r', '- thiết kế khung gầm mới nhất, đủ rộng để quản lý hệ thống cáp dễ dàng.\r', '- Fortress TG có vỏ bọc PSU có chiều dài đầy đủ, các khoang ổ cứng riêng biệt và nhiều lỗ hổng để đi dây cáp có nghĩa là vỏ máy mang đến phong cách, hiệu suất và trải nghiệm tuyệt vời.']"
220,CSLA021,Vỏ Case LIAN-LI PC-O11 DYNAMIC RAZER Edition (Mid Tower/Màu Đen),24 tháng,0,5299000,img/CASE/250_45227_case_lian_li_pc_o11dynamicrazeredition_0000_1__8_.jpg,"['- Dòng sản phẩm PC-O11 DYNAMIC là kết quả của kết hợp độc đáo của LIAN-LI và modder nổi tiếng thế giới DER8AUER. Lấy chính ý tưởng của người dùng và ngôn ngữ đặc trưng của nhà sản xuất đã tạo nên phiên bản thùng máy thời thượng. Đây là lựa chọn đáng cân nhắc đối với nhiều đối tượng khách hàng.\r', '- \r', '- Mẫu vỏ đặc biệt thích hợp với người dùng modding và tản nhiệt nước.\r', '- \r', '- Phiên bản đặc biệt LIAN-LI PC-O11 DYNAMIC RAZER Edition đem đến hiệu ứng ánh sáng tuyệt đẹp, tương thích với phần mềm điều chỉnh của Razer sẽ đem tới cho bạn cỗ máy lung linh sắc màu.']"
